,FIPS,2008_perc
1280,26107,86.0
1281,26109,87.3
1282,26111,90.0
1283,26113,83.0
1284,26115,89.8
1285,26117,85.6
1286,26119,84.3
1287,26121,87.8
1288,26123,85.5
1289,26125,89.9
1290,26127,83.8
1291,26129,85.6
1292,26131,84.2
1293,26133,86.9
1294,26135,83.4
1295,26137,87.3
1296,26139,90.0
1297,26141,83.9
1298,26143,85.8
1299,26145,88.4
1300,26147,88.6
1301,26149,85.0
1302,26151,86.1
1303,26153,83.1
1304,26155,87.5
1305,26157,86.9
1306,26159,85.5
1307,26161,90.7
1308,26163,84.8
1309,26165,87.5
1310,27001,86.6
1311,27003,90.9
1312,27005,88.0
1313,27007,85.0
1314,27009,89.8
1315,27011,87.5
1316,27013,90.8
1317,27015,91.1
1318,27017,90.0
1319,27019,93.6
1320,27021,86.4
1321,27023,88.9
1322,27025,90.8
1323,27027,90.2
1324,27029,85.6
1325,27031,84.8
1326,27033,89.0
1327,27035,88.7
1328,27037,93.0
1329,27039,90.1
1330,27041,89.8
1331,27043,88.7
1332,27045,87.7
1333,27047,89.0
1334,27049,90.8
1335,27051,87.0
1336,27053,90.2
1337,27055,90.1
1338,27057,87.9
1339,27059,89.6
1340,27061,89.0
1341,27063,90.9
1342,27065,88.5
1343,27067,90.2
1344,27069,87.7
1345,27071,88.6
1346,27073,88.3
1347,27075,89.9
1348,27077,85.5
1349,27079,89.2
1350,27081,87.6
1351,27083,90.2
1352,27085,90.8
1353,27087,85.8
1354,27089,86.5
1355,27091,90.7
1356,27093,90.1
1357,27095,87.5
1358,27097,88.8
1359,27099,89.1
1360,27101,87.7
1361,27103,92.4
1362,27105,87.0
1363,27107,86.6
1364,27109,92.9
1365,27111,88.8
1366,27113,89.5
1367,27115,87.5
1368,27117,88.1
1369,27119,89.2
1370,27121,89.6
1371,27123,90.0
1372,27125,85.6
1373,27127,88.4
1374,27129,88.3
1375,27131,89.1
1376,27133,88.7
1377,27135,90.8
1378,27137,90.2
1379,27139,92.6
1380,27141,90.6
1381,27143,88.0
1382,27145,90.8
1383,27147,90.9
1384,27149,90.3
1385,27151,87.8
1386,27153,87.9
1387,27155,86.1
1388,27157,89.9
1389,27159,89.1
1390,27161,90.9
1391,27163,93.8
1392,27165,84.7
1393,27167,89.3
1394,27169,89.5
1395,27171,90.9
1396,27173,90.0
1397,28001,79.7
1398,28003,80.8
1399,28005,79.5
1400,28007,79.7
1401,28009,78.4
1402,28011,80.1
1403,28013,78.5
1404,28015,76.6
1405,28017,78.3
1406,28019,77.7
1407,28021,80.0
1408,28023,79.7
1409,28025,80.5
1410,28027,79.5
1411,28029,80.9
1412,28031,78.9
1413,28033,83.0
1414,28035,80.0
1415,28037,76.4
1416,28039,78.9
1417,28041,75.7
1418,28043,79.7
1419,28045,81.7
1420,28047,80.0
1421,28049,82.6
1422,28051,79.6
1423,28053,78.1
1424,28055,71.2
1425,28057,79.1
1426,28059,81.2
1427,28061,81.0
1428,28063,74.8
1429,28065,78.4
1430,28067,78.8
1431,28069,76.2
1432,28071,81.5
1433,28073,81.5
1434,28075,82.0
1435,28077,79.6
1436,28079,79.1
1437,28081,81.4
1438,28083,79.9
1439,28085,79.5
1440,28087,81.0
1441,28089,86.4
1442,28091,78.4
1443,28093,78.5
1444,28095,80.0
1445,28097,78.5
1446,28099,79.2
1447,28101,79.6
1448,28103,79.2
1449,28105,80.1
1450,28107,78.5
1451,28109,78.4
1452,28111,81.0
1453,28113,79.9
1454,28115,80.9
1455,28117,81.0
1456,28119,76.9
1457,28121,84.2
1458,28123,76.6
1459,28125,74.5
1460,28127,78.6
1461,28129,80.1
1462,28131,79.3
1463,28133,77.7
1464,28135,78.0
1465,28137,79.4
1466,28139,78.8
1467,28141,79.7
1468,28143,84.9
1469,28145,79.8
1470,28147,77.5
1471,28149,82.9
1472,28151,79.3
1473,28153,78.4
