,state,county,politics,color
138,Michigan,Mackinac,"[['Dem', 52.7, 3174], ['GOP', 44.8, 2695], ['Lib', 1.1, 64], ['UST', 0.6, 39], ['Grn', 0.5, 31], ['NLP', 0.3, 17]]",democrat
139,Michigan,Bay,"[['Dem', 60.6, 30498], ['GOP', 35.9, 18073], ['Lib', 1.9, 976], ['UST', 0.7, 336], ['Grn', 0.5, 270], ['NLP', 0.3, 140]]",democrat
140,Michigan,Menominee,"[['Dem', 53.9, 5640], ['GOP', 42.9, 4494], ['Lib', 1.5, 152], ['UST', 0.9, 90], ['Grn', 0.6, 64], ['NLP', 0.3, 30]]",democrat
141,Michigan,Alpena,"[['Dem', 56.9, 7910], ['GOP', 40.0, 5561], ['Lib', 1.7, 237], ['Grn', 0.6, 83], ['UST', 0.6, 82], ['NLP', 0.2, 32]]",democrat
142,Michigan,Houghton,"[['Dem', 50.8, 7466], ['GOP', 45.6, 6690], ['Lib', 2.2, 327], ['Grn', 0.7, 110], ['UST', 0.4, 58], ['NLP', 0.2, 33]]",democrat
143,Michigan,Genesee,"[['Dem', 68.6, 137705], ['GOP', 28.2, 56501], ['Lib', 1.8, 3524], ['UST', 0.6, 1261], ['Grn', 0.6, 1175], ['NLP', 0.3, 509]]",democrat
144,Michigan,Ionia,"[['Dem', 48.8, 12366], ['GOP', 47.3, 12007], ['Lib', 2.1, 535], ['UST', 0.9, 220], ['Grn', 0.6, 155], ['NLP', 0.3, 82]]",democrat
145,Michigan,Charlevoix,"[['GOP', 49.2, 6829], ['Dem', 47.4, 6588], ['Lib', 1.6, 222], ['Grn', 0.9, 129], ['UST', 0.6, 87], ['NLP', 0.3, 39]]",republican
146,Michigan,Barry,"[['GOP', 51.6, 14578], ['Dem', 44.7, 12619], ['Lib', 1.9, 545], ['UST', 0.8, 238], ['Grn', 0.6, 181], ['NLP', 0.3, 80]]",republican
147,Michigan,Gogebic,"[['Dem', 60.2, 4477], ['GOP', 36.6, 2724], ['Lib', 1.5, 111], ['UST', 0.7, 54], ['Grn', 0.7, 49], ['NLP', 0.4, 27]]",democrat
148,Michigan,Monroe,"[['Dem', 56.6, 39700], ['GOP', 40.0, 28089], ['Lib', 1.9, 1354], ['UST', 0.7, 460], ['Grn', 0.5, 370], ['NLP', 0.3, 206]]",democrat
149,Michigan,Wexford,"[['GOP', 48.2, 6632], ['Dem', 47.4, 6520], ['Lib', 2.0, 275], ['UST', 1.1, 155], ['Grn', 0.9, 127], ['NLP', 0.4, 52]]",republican
150,Michigan,Lake,"[['Dem', 57.4, 2997], ['GOP', 38.8, 2028], ['Lib', 1.7, 89], ['UST', 1.1, 56], ['NLP', 0.5, 28], ['Grn', 0.5, 25]]",democrat
151,Michigan,Benzie,"[['Dem', 52.4, 5094], ['GOP', 44.5, 4325], ['Lib', 1.6, 155], ['Grn', 0.7, 66], ['UST', 0.6, 59], ['NLP', 0.3, 29]]",democrat
152,Michigan,Sanilac,"[['Dem', 53.2, 9667], ['GOP', 43.8, 7958], ['Lib', 1.6, 297], ['UST', 0.6, 110], ['Grn', 0.5, 84], ['NLP', 0.4, 65]]",democrat
153,Michigan,Kalkaska,"[['GOP', 48.2, 3936], ['Dem', 47.2, 3856], ['Lib', 2.4, 192], ['Grn', 1.0, 79], ['UST', 0.9, 72], ['NLP', 0.3, 27]]",republican
154,Michigan,St. Joseph,"[['GOP', 49.4, 11308], ['Dem', 47.0, 10762], ['Lib', 1.7, 396], ['UST', 0.9, 204], ['Grn', 0.7, 160], ['NLP', 0.4, 81]]",republican
155,Michigan,Iosco,"[['Dem', 57.6, 7566], ['GOP', 38.9, 5118], ['Lib', 1.7, 218], ['UST', 0.8, 101], ['Grn', 0.7, 91], ['NLP', 0.4, 52]]",democrat
156,Michigan,Midland,"[['GOP', 48.6, 20056], ['Dem', 48.1, 19860], ['Lib', 2.0, 837], ['UST', 0.6, 240], ['Grn', 0.4, 179], ['NLP', 0.2, 91]]",republican
157,Michigan,St. Clair,"[['Dem', 56.5, 40913], ['GOP', 39.9, 28916], ['Lib', 2.1, 1490], ['UST', 0.7, 512], ['Grn', 0.6, 406], ['NLP', 0.3, 213]]",democrat
158,Michigan,Shiawassee,"[['Dem', 57.5, 19103], ['GOP', 38.5, 12796], ['Lib', 2.0, 680], ['UST', 0.9, 311], ['Grn', 0.6, 196], ['NLP', 0.3, 109]]",democrat
159,Michigan,Ingham,"[['Dem', 67.1, 84615], ['GOP', 29.8, 37552], ['Lib', 1.8, 2284], ['Grn', 0.7, 895], ['UST', 0.4, 547], ['NLP', 0.2, 258]]",democrat
160,Michigan,Delta,"[['Dem', 55.7, 9875], ['GOP', 41.3, 7333], ['Lib', 1.7, 299], ['UST', 0.6, 105], ['Grn', 0.5, 82], ['NLP', 0.2, 43]]",democrat
161,Michigan,Keweenaw,"[['Dem', 50.7, 694], ['GOP', 45.9, 628], ['Lib', 1.5, 21], ['UST', 0.9, 12], ['Grn', 0.7, 10], ['NLP', 0.3, 4]]",democrat
162,Michigan,Oscoda,"[['Dem', 48.6, 1934], ['GOP', 46.5, 1848], ['Lib', 2.6, 102], ['UST', 1.1, 43], ['Grn', 0.6, 25], ['NLP', 0.6, 24]]",democrat
163,Michigan,Wayne,"[['Dem', 75.7, 607513], ['GOP', 21.5, 172211], ['Lib', 1.6, 12512], ['UST', 0.5, 4116], ['Grn', 0.5, 3862], ['NLP', 0.3, 2048]]",democrat
164,Michigan,Grand Traverse,"[['GOP', 49.7, 23485], ['Dem', 46.9, 22158], ['Lib', 1.9, 878], ['Grn', 0.9, 446], ['UST', 0.5, 213], ['NLP', 0.2, 107]]",republican
165,Michigan,Schoolcraft,"[['Dem', 55.8, 2201], ['GOP', 41.2, 1627], ['Lib', 1.8, 70], ['UST', 0.5, 21], ['Grn', 0.4, 17], ['NLP', 0.2, 9]]",democrat
166,Michigan,Ogemaw,"[['Dem', 58.0, 5875], ['GOP', 38.3, 3877], ['Lib', 1.8, 180], ['UST', 0.9, 96], ['Grn', 0.7, 69], ['NLP', 0.4, 38]]",democrat
167,Michigan,Van Buren,"[['Dem', 53.1, 17163], ['GOP', 43.4, 14023], ['Lib', 1.7, 546], ['UST', 0.8, 249], ['Grn', 0.7, 217], ['NLP', 0.3, 96]]",democrat
168,Michigan,Osceola,"[['GOP', 49.1, 5001], ['Dem', 47.2, 4809], ['Lib', 1.6, 162], ['UST', 1.0, 100], ['Grn', 0.8, 77], ['NLP', 0.3, 34]]",republican
169,Michigan,Presque Isle,"[['Dem', 54.5, 3818], ['GOP', 42.0, 2946], ['Lib', 1.8, 124], ['Grn', 0.7, 46], ['UST', 0.6, 42], ['NLP', 0.4, 30]]",democrat
170,Michigan,Isabella,"[['Dem', 60.6, 14340], ['GOP', 35.9, 8489], ['Lib', 1.9, 447], ['Grn', 0.8, 183], ['UST', 0.6, 147], ['NLP', 0.3, 66]]",democrat
171,Michigan,Antrim,"[['GOP', 52.3, 6834], ['Dem', 44.3, 5785], ['Lib', 1.7, 225], ['Grn', 0.8, 102], ['UST', 0.7, 90], ['NLP', 0.2, 32]]",republican
172,Michigan,Newaygo,"[['GOP', 51.3, 10942], ['Dem', 45.2, 9628], ['Lib', 1.6, 350], ['UST', 0.9, 199], ['Grn', 0.6, 126], ['NLP', 0.3, 64]]",republican
173,Michigan,Branch,"[['GOP', 50.5, 8089], ['Dem', 45.8, 7328], ['Lib', 1.8, 281], ['UST', 0.9, 146], ['Grn', 0.6, 97], ['NLP', 0.4, 68]]",republican
174,Michigan,Berrien,"[['GOP', 50.2, 35610], ['Dem', 46.3, 32855], ['Lib', 1.9, 1330], ['UST', 0.7, 512], ['Grn', 0.7, 478], ['NLP', 0.3, 190]]",republican
